ht_bib_key,oclc_num
000000009,252
000000024,1132
000000052,2682
000000055,3202
000000073,4872
000000074,4882
000000099,6832
000000108,7972
000000109,8202
000000184,16742
000000189,17382
000000219,21462
000000239,22682
000000316,30342
000000318,30472
000000376,36352
000000404,42292
000000466,48872
000000471,49092
000000477,50012
000000490,50552
000000505,51402
000000671,59832
000000736,64002
000000769,66022
000000787,66922
000000798,67502
000000820,69142
000000822,69292
000000826,69632
000000829,69792
000000868,72622
000000915,76822
000000921,77072
000000940,78562
000000957,79572
000000977,80642
000001086,84562
000001154,87442
000001163,87752
000001165,88032
000001193,89432
000001196,89712
000001208,90382
000001217,91202
000001232,91542
000001237,91762
000001244,92162
000001266,93532
000001270,93672
000001284,94532
000001305,95552
000001315,96332
000001321,96482
000001327,96852
000001367,99632
000001414,102222
000001422,102942
000001453,104892
000001480,106342
000001544,110212
000001546,110272
000001582,113302
000001592,113722
000001604,114412
000001632,116452
000001637,116922
000001832,127592
000001865,129812
000001899,131242
000001905,131842
000001974,136342
000001988,137272
000001992,137382
000001998,137552
000002012,138062
000002024,138452
000002048,139242
000002054,139412
000002056,139702
000002079,140992
000002102,141722
000002135,144102
000002176,146592
000002199,148062
000002233,149832
000002235,150022
000002246,150342
000002313,154022
000002323,154462
000002362,156972
000002412,159562
000002414,159802
000002451,162332
000002456,162572
000002467,162992
000002469,163252
000002514,165822
000002522,166172
000002532,7136102
000002533,176332
000002580,170782
000002593,172332
000002610,173982
000002621,175402
000002628,176422
000002656,178882
000002662,179472
000002667,179912
000002724,185232
000002777,191122
000002812,193632
000002816,193912
000002851,196422
000002866,197672
000002881,198462
000002938,201942
000002942,202152
000002982,205182
000003025,208222
000003035,208872
000003036,208882
000003105,212342
000003118,213432
000003141,215162
000003175,216632
000003183,216912
000003198,218112
000003203,218422
000003207,218542
000003209,218572
000003210,218632
000003223,219582
000003245,221232
000003271,223022
000003285,225232
000003330,228032
000003369,231112
000003434,237192
000003435,237212
000003476,239842
000003501,240892
000003502,241012
000003547,245372
000003597,247762
000003607,248652
000003639,251892
000003654,253282
000003692,7976712
000003705,256842
000003710,257152
000003717,257322
000003741,258422
000003783,261472
000003795,262412
000003801,262692
000003851,266052
000003856,266572
000003870,267232
000003881,267752
000003903,269942
000003928,272222
000003954,275002
000003956,275272
000003980,277452
000004037,281132
000004055,281912
000004056,281982
000004097,286082
000004220,294192
000004228,294962
000004243,295962
000004258,297752
000004280,298722
000004309,301132
000004330,303452
000004354,304682
000004370,305982
000004401,308152
000004483,314252
000004520,315582
000004550,318602
000004588,320512
000004616,322672
000004735,329092
000004755,329512
000004756,329522
000004783,331012
000004785,331202
000004801,333272
000004823,333772
000004853,334472
000004862,335212
000004912,340962
