ht_bib_key,oclc_num
000000039,1677
000000061,3877
000000183,16737
000000188,17357
000000216,20637
000000223,21637
000000225,21757
000000250,23127
000000285,27277
000000300,28437
000000332,31517
000000378,36497
000000391,38787
000000409,42897
000000622,57487
000000701,62037
000000720,63177
000000859,72187
000000879,74187
000000882,74437
000000904,76417
000000925,77427
000000932,78057
000000954,79447
000001019,81977
000001094,84977
000001118,85737
000001158,87637
000001230,91497
000001238,91777
000001246,92227
000001267,93537
000001279,94397
000001286,94597
000001297,95137
000001314,96157
000001329,97187
000001352,99087
000001413,102207
000001415,102307
000001434,103757
000001440,104197
000001474,106067
000001506,107647
000001523,109077
000001529,109437
000001574,112267
000001583,113317
000001601,114297
000001654,117887
000001668,118447
000001682,119477
000001689,119827
000001708,120577
000001719,120917
000001725,121677
000001730,122077
000001734,122137
000001757,123677
000001760,123767
000001782,124977
000001813,126447
000001838,127847
000001877,130387
000001906,131847
000001912,132057
000001999,137557
000002004,137757
000002034,138807
000002064,139947
000002097,141627
000002100,141677
000002107,142167
000002228,149617
000002234,149857
000002306,153537
000002311,153977
000002355,156487
000002374,157547
000002399,159037
000002452,162427
000002508,165657
000002570,170157
000002599,172747
000002614,174317
000002623,175657
000002770,189917
000002795,36599647
000002821,194277
000002869,197697
000002906,199737
000002950,202857
000002976,204817
000003005,206427
000003006,206437
000003018,207837
000003114,213307
000003215,218867
000003216,218877
000003227,219767
000003249,221397
000003267,222437
000003269,222517
000003309,226947
000003319,227417
000003358,229867
000003366,230717
000003401,234867
000003411,235477
000003444,237787
000003461,238817
000003467,239107
000003515,241557
000003522,242537
000003542,244887
000003556,246547
000003571,247127
000003605,248297
000003640,251897
000003662,253857
000003671,254197
000003687,255957
000003727,257977
000003732,258027
000003778,261147
000003787,261887
000003802,262707
000003933,272857
000003946,273887
000003960,275747
000003988,277997
000004011,278817
000004026,279577
000004075,283547
000004077,283777
000004129,287617
000004133,288177
000004166,289787
000004188,292187
000004192,292367
000004249,297367
000004269,298347
000004304,300817
000004341,303867
000004345,303937
000004421,309627
000004515,315387
000004539,317907
000004570,319957
000004591,320617
000004602,249687
000004631,323817
000004639,324137
000004670,324957
000004684,325897
000004690,5183067
000004765,329627
000004766,329647
000004784,331047
000004843,334327
000004863,16745837
000004902,340637
000004939,342197
000004958,344677
000004959,344687
000005002,348237
000005057,352547
000005058,352677
000005081,354627
000005104,356937
000005128,359457
000005176,363657
000005179,363887
000005195,2437607
000005253,371867
000005269,181857
000005307,2754477
000005392,382947
000005402,384227
000005420,385887
000005439,387147
000005462,388877
000005490,390057
000005500,1137817
000005513,392207
000005523,393227
000005556,394677
000005575,396717
000005623,401887
000005671,403937
000005678,405227
000005688,406177
000005710,409307
000005763,322527
000005797,415287
000005813,416057
000005830,416887
000005862,418857
000005864,360447
000005884,420827
000005946,169007
000005969,427507
000006013,432857
000006032,435537
000006052,437537
000006068,439127
000006071,439407
000006098,442217
000006107,442987
000006139,446167
000006142,446277
000006158,447337
000006161,447407
000006176,448137
000006209,452127
000006212,452237
000006221,453217
000006243,458487
000006258,461067
000006361,479117
000006371,480077
000006428,482447
000006435,482887
000006465,483657
000006540,489907
000006549,490497
000006557,491067
000006564,491517
000006602,495197
000006622,495697
000006652,12906267
000006678,500677
000006689,4138687
000006690,501577
000006739,506577
000006781,508307
000006796,508807
000006832,511447
000006833,6434367
000006847,513117
000006891,514717
000006895,514857
000006897,514887
000006941,516027
000006950,516287
000006960,516747
000006974,8842947
000006993,519517
000006996,519687
000007007,520387
000007027,521637
000007045,523957
000007054,524067
000007061,524077
