ht_bib_key,oclc_num
000000012,604
000000021,1014
000000053,2794
000000058,3714
000000063,3914
000000106,7624
000000113,9084
000000144,12594
000000149,13164
000000181,16714
000000197,18594
000000241,22724
000000261,23734
000000262,23864
000000266,24284
000000269,24394
000000292,27834
000000317,30404
000000323,30784
000000337,32464
000000370,36024
000000371,36054
000000382,36994
000000421,45034
000000443,47094
000000454,48074
000000478,50044
000000484,50284
000000485,50304
000000497,50984
000000509,51994
000000531,53434
000000532,53454
000000554,54724
000000587,56394
000000617,57284
000000650,58814
000000696,61654
000000781,66584
000000792,67094
000000796,67444
000000800,67564
000000823,69294
000000877,74084
000000894,75954
000000970,80364
000000978,80654
000001008,81614
000001048,83144
000001069,83854
000001083,84254
000001137,86314
000001148,86894
000001171,88394
000001180,88724
000001202,90094
000001206,90344
000001215,90964
000001231,91534
000001295,94954
000001300,95374
000001354,99154
000001401,101374
000001443,104324
000001454,104934
000001499,107434
000001553,110834
000001571,111844
000001573,112134
000001578,112964
000001608,114894
000001614,115064
000001651,117614
000001676,118974
000001678,119004
000001698,120214
000001709,120584
000001723,121034
000001772,124294
000001820,126744
000001858,129144
000001875,130284
000001924,132674
000001937,134054
000001940,134274
000002016,138104
000002018,138204
000002050,139274
000002063,139934
000002084,141124
000002090,141234
000002117,142934
000002165,145954
000002169,146174
000002202,148194
000002216,148704
000002222,149144
000002224,149174
000002304,153494
000002332,155354
000002354,156484
000002379,157864
000002409,159554
000002465,162944
000002471,163384
000002502,165334
000002531,166694
000002626,175954
000002736,185974
000002739,186144
000002761,188524
000002773,190504
000002811,193584
000002818,194084
000002850,196344
000002864,197494
000002879,198414
000002934,201504
000002995,205854
000003076,211164
000003083,211534
000003108,212534
000003109,212544
000003120,213494
000003144,215314
000003173,216594
000003200,218234
000003201,218284
000003232,220254
000003239,220774
000003240,221044
000003253,221654
000003291,225704
000003334,228174
000003351,175884
000003359,230064
000003370,231274
000003379,232054
000003400,786774
000003431,236764
000003445,21618514
000003448,238334
000003458,238664
000003477,239954
000003508,241354
000003535,243794
000003557,246564
000003573,247184
000003609,248944
000003628,251334
000003664,253894
000003669,254024
000003676,255024
000003718,257404
000003730,258004
000003785,261684
000003913,270654
000003923,271364
000003950,274244
000004000,278264
000004029,280124
000004045,281384
000004048,281634
000004054,281884
000004081,284324
000004096,286064
000004113,286904
000004149,288884
000004197,292614
000004239,295694
000004371,306004
000004406,308674
000004426,309924
000004429,310244
000004441,311664
000004450,312604
000004541,318094
000004590,320564
000004605,321824
000004669,264794
000004703,327734
000004704,327804
000004728,328984
000004729,328994
000004829,334194
000004842,334324
000004878,337244
000004918,341024
000004935,341364
000004982,347104
000004986,7024944
000004995,347934
000005010,348334
000005011,348364
000005045,352034
000005053,352454
000005088,355674
000005109,357134
000005123,358204
000005182,363974
000005188,364784
000005233,370194
000005240,370364
000005290,376614
000005304,378134
000005329,379304
000005339,379494
000005341,379574
000005347,380124
000005368,381124
000005372,381324
000005393,382954
000005426,386154
000005468,389304
000005502,391254
000005531,393434
000005539,393744
000005576,164544
000005594,398414
000005598,398674
000005642,402504
000005648,402634
000005689,3207684
000005690,406424
000005694,406984
000005731,410404
000005744,410524
000005756,411684
000005786,413754
000005827,416794
000005873,419764
000005903,422594
000005913,423314
000005918,423574
000005927,424084
000005933,424414
000005952,425874
000005960,427174
000005962,427244
000006034,435554
