ht_bib_key,oclc_num
000000010,320
000000020,980
000000030,1310
000000031,1340
000000134,11830
000000148,13060
000000152,13260
000000155,13760
000000175,16220
000000194,18120
000000277,25530
000000347,33440
000000356,34500
000000395,40070
000000510,52020
000000570,55700
000000571,55710
000000591,56480
000000596,56740
000000670,59710
000000722,63190
000000751,65140
000000816,68820
000000886,75060
000000901,76330
000000920,77010
000000994,81200
000001052,83340
000001092,84820
000001147,86890
000001168,88140
000001199,89970
000001209,90400
000001220,91310
000001251,92410
000001277,94160
000001283,94510
000001291,94820
000001293,94900
000001318,96350
000001349,98720
000001359,99350
000001389,100610
000001392,100800
000001397,101240
000001445,104330
000001471,105990
000001498,107420
000001541,110190
000001568,111710
000001595,114070
000001641,117140
000001646,117360
000001652,117730
000001659,118050
000001669,118500
000001670,118620
000001693,119900
000001696,120150
000001724,121430
000001731,122090
000001739,122590
000001753,123530
000001754,123660
000001759,123760
000001826,127240
000001847,128500
000001895,131220
000001910,131970
000001921,132630
000001926,132800
000001931,133420
000001936,133930
000001968,136210
000001987,137240
000002007,137900
000002015,138100
000002020,138300
000002037,138850
000002039,138960
000002060,139860
000002069,140520
000002070,140530
000002083,141110
000002093,141470
000002119,142960
000002124,143400
000002137,144140
000002163,145810
000002189,147530
000002195,147940
000002263,151310
000002265,151470
000002269,151740
000002303,153380
000002325,154600
000002338,155750
000002384,158180
000002411,159560
000002480,163910
000002511,165720
000002518,166020
000002534,167220
000002551,168080
000002660,179280
000002668,6707950
000002681,181330
000002727,185390
000002728,185470
000002756,187700
000002813,193680
000002857,196700
000002861,197000
000002880,198460
000002896,199160
000002907,199740
000002945,202400
000003024,208200
000003041,209250
000003070,210990
000003177,216650
000003229,220000
000003248,221380
000003277,224110
000003318,227380
000003332,228130
000003340,228390
000003377,2149260
000003507,241300
000003513,2780450
000003521,242070
000003570,247110
000003626,251010
000003643,252020
000003660,253760
000003683,255730
000003726,257880
000003840,265120
000003841,265250
000003879,267650
000003905,270110
000003919,271130
000003929,272230
000003940,273720
000003979,277360
000003992,278060
000004022,279460
000004040,281220
000004041,281230
000004046,281520
000004050,281670
000004060,282060
000004090,285640
000004127,287610
000004136,288370
000004170,290200
000004172,290550
000004219,294090
000004238,295680
000004253,297590
000004271,298370
000004291,299170
000004327,303320
000004337,303670
000004392,302670
000004415,309380
000004419,309520
000004420,309580
000004431,310300
000004471,313960
000004521,315620
000004642,324160
000004692,326550
000004694,326610
000004699,326750
000004718,328850
000004732,329010
000004808,333450
000004885,229340
000005046,352150
000005089,355830
000005106,357090
000005112,357350
000005115,357460
000005117,357520
000005118,357540
000005160,362500
000005169,363400
000005181,363970
000005242,370380
000005282,375920
000005302,377850
000005361,380790
000005371,335070
000005391,382940
000005487,389870
000005516,392560
000005533,393500
000005547,394010
000005565,395810
000005568,396180
000005597,398550
000005608,399720
000005637,402430
000005683,405600
000005707,16131980
000005712,409570
000005769,412290
000005778,413220
000005792,414860
000005833,416940
000005847,417890
000005867,419490
000005904,422600
000005914,423450
000005920,423660
000005959,427150
000005983,428460
000005984,428540
000005990,428700
000006055,193050
000006085,441200
000006109,443100
000006136,446120
000006223,454260
000006367,479810
000006381,481110
000006396,481520
000006399,481670
000006402,481850
000006408,482080
000006431,482580
000006463,483620
000006525,489350
000006545,490320
000006579,493720
000006585,494650
000006608,495290
000006613,495350
000006626,496160
000006646,497420
000006658,498570
000006669,499900
000006680,501090
000006779,508260
000006797,508850
000006822,510750
000006831,511330
000006905,515220
000006922,515810
000006933,515980
000006949,516280
000007005,520260
000007013,520710
000007047,524040
000007064,524080
000007089,524520
000007090,524530
000007125,527310
000007169,532000
000007170,532090
000007183,532180
000007193,532190
000007211,532910
000007237,533670
000007247,533850
000007254,534320
000007258,534690
000007275,537130
000007306,538970
000007364,540840
000007413,545240
000007449,548270
000007467,549070
000007472,549320
000007475,549380
000007528,554210
000007597,561850
000007712,572500
000007716,572670
000007725,573110
000007746,4060880
000007773,10644760
000007813,579200
000007849,580660
000007851,274530
000007887,583880
000007890,583920
000007894,583970
000007954,587220
000008014,590270
000008025,590760
000008034,590980
000008060,591920
000008135,596820
000008174,600270
000008176,600280
000008177,600290
000008196,600990
000008206,601300
000008234,603670
000008284,605760
000008320,609210
000008515,618460
000008525,618620
000008543,620430
000008573,622120
000008580,622520
000008589,622810
000008606,623390
000008614,623510
000008621,623980
000008638,624260
000008699,628060
000008702,628090
000008742,480670
000008790,632700
000008803,633390
000008805,633490
000008828,635340
000008834,636340
000008839,636450
000008909,640370
000008911,640380
000008942,642030
000008947,642190
000008964,644200
000008975,644740
000008992,646320
000009007,648360
000009039,650330
000009079,651180
000009089,651570
000009103,652490
000009108,653260
000009139,656360
000009163,657530
000009206,658930
000009210,659000
000009230,660020
000009255,661640
000009272,662060
000009316,664250
000009320,664730
000009334,665870
000009342,336380
000009357,666940
000009364,666990
000009368,667070
000009371,667130
000009373,667150
000009449,671600
000009465,672230
000009494,673320
000009504,673530
000009529,611250
000009587,678530
000009614,44214560
000009615,681260
000009629,682040
000009651,684270
000009701,688860
000009744,693330
000009748,693370
000009778,694090
000009804,695210
000009806,695240
000009920,699340
000009966,700900
000009990,701570
000010003,701950
000010009,702740
000010044,704210
000010064,704910
000010067,704990
000010078,705180
000010123,707320
000010127,707360
000010161,708970
000010174,710200
000010186,711460
000010194,711930
000010204,327800
000010219,714000
000010235,714210
000010253,714380
000010408,723820
000010419,724040
000010426,724250
000010437,724380
000010590,731980
000010667,737030
000010747,740830
000010769,741050
000010790,741680
000010848,744730
000010858,745410
000010868,745760
000010877,745930
000010883,746050
000010887,746110
000010943,749460
000010970,749880
000011007,751000
000011039,754270
000011060,754570
000011128,758040
000011139,418520
000011220,762710
000011250,763380
000011307,765090
000011339,768080
000011367,770990
000011462,755310
000011513,782680
000011551,786130
000011645,790760
000011657,791200
000011732,793940
000011749,794650
000011805,797420
000011818,797780
000011872,799580
000011903,800150
000011913,800450
000011917,800560
000011956,801620
000011973,802210
000011981,645130
000012016,803200
000012117,805920
000012119,805930
000012128,806220
000012132,806370
000012214,810140
000012224,810300
000012246,810870
000012314,813140
000012351,814720
000012385,815650
000012434,704350
000012488,821160
000012490,821170
000012515,821570
000012518,821580
000012544,822940
000012578,825430
000012613,827640
000012651,828300
000012693,829450
000012698,829690
000012700,20723520
000012755,834820
000012909,841260
000012935,841620
000012936,841630
000012991,844130
000012998,844660
000013058,848340
000013118,852870
000013152,855260
000013159,168560
000013181,857570
000013200,858290
000013281,861580
000013290,862090
000013518,869690
000013521,337880
000013617,874240
000013645,875050
000013686,876530
000013715,878500
000013787,883360
000013816,8993390
000013845,886340
000013859,886480
000013969,893220
000014043,897470
000014090,897720
000014104,897890
000014175,899010
000014190,900590
000014275,902310
000014316,902810
000014456,30767050
000014494,911840
000014577,914950
000014738,922440
000014752,922630
000014803,923550
000014840,16214120
000014887,767950
000014912,931530
000014917,3255930
000014922,932240
000014936,497950
000014941,934310
000014949,934480
000014954,934570
000014955,934580
000014970,934670
000014971,934680
000015034,791560
000015060,938920
000015123,940720
000015130,940750
000015147,940990
000015187,6963790
